New Script TCM,,,,,,,"Intruksi :
1. Baca dan pahami kolom C dan D
2. Dari POV teman2, apakah new script ini mudah untuk di implementasikan disetiap partnya?
3. Apa good point dan weakness point dari new script ini?
4. Berikan contoh guiding statement disetiap point.
5. Bisa berikan simbol ✅ jika sudah sesuai/setuju, dan ❌ jika masih ragu, tidak setuju, atau masukan lain. (Contoh ""Comment From Afi)",,,,,,,
Part of TC,Note,What to do,Guiding Statement,Comment From Rikky,Comment From Rudi,Comment From Afi,Comment From Amanda,Comment From Lusia,Comment From Ain,Comment From Andika,Comment From Sabila,Ellin,Tiffany,Shely
"Greetings &
Get Ready Before Trial Class",,Memulai dengan senyum dan good appearance,Guidelines Dress Code TCM: Guidlines Dress Codes for TCMs,Tambahin link guidline kita,,✅Bisa untuk push TCM supaya lebih aware terhadap penampilan saat bertemu klien.,"✅
Appearance matters, TCM terlihat lebih professional sebagai representasi International Company",✅,✅Point penting karena jadi first impression client,✅ Penampilan menentukan kesan dari client terhadap TCM,"✅Posisi kamera, penampilan memang harus diperhatikan biar TCM jauh lebih confident dan klien melihat juga walaupun online tapi profesional",,,
,New,Opening with English & Konfirmasi nama anak dan orang tua sesuai data AMO,"Notes: Melakukan opening dalam bahasa Inggris sejak klien on video dan audio zoom, dengan tujuan menegaskan citra Algonova sebagai sekolah berstandar internasional.

Example: ""Hello Parent (Mom/Dad) and Adik (prefer langsung sebut Nama Anak). Welcome to Algonova, International IT School""",,,✅Menggambarkan sekolah internasional.,"✅ 
Good, lebih baik seragamkan sapaan untuk menguatkan branding.

Misal ""Hello Mom/Dad, {nama_anak}, welcome to Algonova International IT School.","✅Dibarengin dengan intonasi dan energi yang semangat

Examplennya di ganti : Good morning, good nonn",✅Setuju karena bahasa inggrisnya juga masih basic dan pasti client paham,"✅ Termasuk sapaan bahasa Inggris yang ringan, misal: 
Hi!...(nama anak) How are you ?",✅Bagus untuk branding tutor sekolah Internasional,,,
,,,"Notes: Setelah opening bisa dilanjutkan dengan memastikan nama anak, nama pendamping, dan kota tempat tinggal menggunakan bahasa Indonesia, Tujuannya adalah untuk verfikasi data klien sesuai dengan AMO dan membangun komunikasi yang personal karena sudah tau nama anak dan orang tua. Dilanjutkan memperkenalkan diri menggunakan English. 

Example: 
""Ini dengan (nama anak) betul ya? atau biasa dipanggil siapa nih? sore ini didampingi bunda ya? ohh panggilnya mama yaa, Miss bisa panggil dengan mama Nova betul tidak ya, sesuai dengan nama kontak di pendaftaran? Baik terima kasih""

""Welcome to Algonova (nama anak) and Mama Nova. I'm (nama TCM) tutor from Algonova International IT & Math School.""",,,❌Bisa dibuat lebih singkat saja jadi satu dengan yang di atas supaya tidak takes time hanya untuk opening.," ❌
Setelah menyapa client, lebih baik memperkenalkan diri dulu secara confidence. Setelah itu baru makesure nama anak dan nama pendamping.

Misal : ""Mom/Dad and {nama_anak} perkenalkan, saya {nama_TCM} Tutor dari Algonova Indonesia, International IT & Math School yang akan memandu trial class adik {nama_anak} selama satu jam ke depan."," ❌ Lebih baik perkenalan diri TCM dahulu, lalu memastikan pendampingan orangtua

Example dan keteragnan notesnya berbeda","❌Untuk greeting sudah oke menggunakan english, tapi selanjutnya sesuaikan dengan kondisi client aja",✅ ,"❌Kalau di awal sudah perkenalan sepertinya disini sudah tidak perlu lagi

✅bisa langsung profilling menanyakan atau konfirmasi data dari AMO",,,
,New,Greetings,"Notes: 
Setelah memperkenalkan diri, bisa tambahkan pertanyaan singkat untuk mencaikan suasa dan membangun bonding dengan anak serta orang tua sejak awal sesi. Sesuai dengan usia client, dan pastikan TCM memberikan first impression yang menyenangkan. 

Example:  
5-7yo
- Hallo (nama anak), udah siap hari ini belajar dan bermain sama Miss? 
- Hallo (nama anak), udah makan siang/malam hari ini? udah siap yaa buat belajar dan bermain sama Miss? 

8-12yo
""Hallo (nama anak), gimana nih kabar kamu hari ini? udah siap yaa siang ini belajar dan seru seruan sama Miss?""

13-17yo
""Hallo (nama anak), udah tau belum nih kita hari ini mau ngapain? oke udah siap ya belajar Coding/Math/Design hari ini sama Miss. ","Menurutku harus dijelaskan macam-macam greeting sesuai dengan usia anak

Points untuk Onboarding Team Nantinya: 
- Bagaimana cara greeting ke anak 5-7 (cheerful)
- Bagaimana cara grretings ke anak 8-12 
- Bagaimana cara greetings ke anak 13-17 (harus lebih calm dan profesional, biar anak segan dan excited)
",,✅Dibuat panduan yang jelas supaya memudahkan TCM untuk implementasinya dan QC untuk pengecekannya.,"✅
Bedakan tipe sapaan ke anak berdasar usia sangat berpengaruh terhadap jalannya TC keseluruhan","✅Panduan lebih jelas beserta kalimat kalimatnya.

example yg ada sebaiknya tidak usah di tanyakan dan disampaikan seperti itu.

Lebih baik lgsg saja Sudah siap untuk mulai trial class hari ini? lalu sampaikan tahapan","✅ I love this, buat bangun bonding",✅ Greating yang disesuaikan dengan usia anak,✅Bisa namun biar lebih efisien cukup 1 kalimat atau 1 pertanyaan aja buat mencairkan suasana ,,,
,New,"Confirm client readiness
(anak dan pendampingan orang tua)","Notes: TCM wajib memastikan anak dan orang tua sudah dalam posisi siap untuk trial class, duduk dan masuk dalam satu frame. Contoh: mempersilakan orang tua untuk duduk, mempersiapkan kursi, menghapus background zoom jika menghalangi orang tua/anak untuk terlihat di video, dan menunggu orang tua untuk bersiap-siap misal menggunakan hijab untuk perempuan. 

Example:
"" Untuk sesi trial class akan berlangsung kurang lebih 60 menit kedepan, dan wajib untuk didampingi, apakah bisa mama/papa mendampingi selama sesi trial class berlangsung?"" 

""Selamat malam (nama anak) dan mama/papa, saya Mega dari Algonova, untuk sesinya nanti kurang lebih 60 menit mama/papa dan wajib didampingi, bagaimana apakah bisa? berkenan untuk persiapan terlebih dulu jika mama/papa mau mengambil kursi biar bisa bersebelahan dengan (nama anak) dan masuk dalam satu frame ya mama/papa"" 

""Selamat malam (nama anak), saat ini dirumah kamu ditemenin siapa? boleh dibantu panggil mama/papa untuk mendampingi. Selamat malam mama/papa, saya (nama TCM) dari Algonova, untuk sesi trial class saat ini wajib didampingi apakah mama/papa bisa untuk saat ini?"" ",,,"✅Ini masuknya ke improvement script lama, karena yang dulu hanya memastikan pendampingan orangtua saja. Kalau di sini memastikan satu frame dan menghilangkan background Zoom. 

PS: Jadi ada variabel baru yang ditambahkan. Bisa masuk ke New ga sih di kolom B?","✅
Mempersilakan ortu prepare secara full untuk pendampingan secara terbuka sangat baik sekali, ortu bisa lebih aware dan menganggap trial class ini bukan kelas yang bisa disambi.",Note ini bisa di pastikan di awal sebelum greetings di mulai.,✅ Setuju untuk wajib on frame,✅ Setuju untuk wajib on frame,✅Ini bisa dilakukan untuk melihat apakah orang tua benar-benar aware dengan sesi TC ini,,,
,New,Handling technical issues,"Notes: 
- TCM wajib aware sejak awal terkait kendala klien agar bisa segera terselesaikan, trial class berlangsung secara efektif dan proses pergantian dari klien ori dan klien OB lebih cepat. Contoh: kendala audio, video, internet, device, dan zoom web. 
- Pengecekan internet dan device dilakukan jika indekasi kendala muncul agar waktu TC tetap efektif. 

Example:
- Konfirmasi awal sebelum trial class dimulai (jika audio video belum aktif) 
""Selamat malam parents, boleh dibantu untuk menyalakan audio dan videonya terlebih dulu sebelum kelas dimulai, bisa klik gambar mic dan video yang ada di pojok kiri bawah""
 - Anak menggunakan headset 
""Selamat malam (nama anak), suara Miss saat ini terdengar jelas? untuk saat ini apakah ada kendala untuk audio dari laptop jika tidak menggunakan headset? baik, untuk sesi trial class, (Nama anak) tidak perlu menggunakan headset dulu yaa, jadi nanti biar suara Miss bisa terdengar juga sama mama/papa, karena nanti akan ada sesi diskusi juga dengan orang tua"" (opsional jika anak/orang tua yang menggunakan headset) 
- Kendala video
""Selamat malam (Nama anak/ orang tua yang sedang berkomunikasi) saat ini untuk videonya ada kendala ya? sehingga tidak bisa terbuka, untuk sementara saat ini Miss bantu untuk mama/papa menggunakan dual device dari handphone yaa, jadi silakan bergabung juga menggunakan zoom di HP agar nanti videonya bisa menggunakan HP. 
- Kendala Audio 
""Selamat malam (Nama anak/ orang tua yang sedang berkomunikasi) saat ini untuk audionya ada kendala ya? sehingga Miss saat ini masih belum bisa mendengar suara, untuk sementara saat ini Miss bantu untuk mama/papa menggunakan dual device dari handphone yaa, jadi silakan bergabung juga menggunakan zoom di HP agar nanti audionya bisa menggunakan HP."" (Bisa juga dikirimkan melalui pesan teks zoom dan AMO).",,,✅Masuknya lebih ke handling problem klien di awal untuk memastikan sesi berikutnya berjalan lancar. Bisa untuk push TCM supaya handle tech issue dengan baik dan benar.,"✅
Clearing technical issue di awal sangat penting untuk efisiensi waktu. ",✅mungkin bisa di sama ratakan diawal untuk makesure device bisa lgsg open platform sampai login lalu dilanjutkan dengan ke profiling,✅,✅,✅Handling tech issue bisa lebih efisien dan tepat ,,,
,,TC process stages,"Notes: Sampaikan tahapan TC secara clear, hindari kalimat ""jika (nama anak) dan mama/papa cocok"", karena kita akan memastikan klien cocok dengan pembelajaran di sesi trial class. 

Example:
""Selanjutnya Miss/Mr sampaikan untuk agenda kita kedepan yaa, hari ini kita akan ada 4 sesi: 
1. Pertama, adalah sesi observasi, Miss mau kenalan dulu sama (nama anak), jadi Miss bisa tahu untuk minat bakat (nama anak) seperti apa. Selain itu, Miss mau ngobrol juga ya sama mama/papa, biar Miss tahu untuk tujuan dan harapannya kedepan untuk (nama anak) bagaimana. 
2. Sesi selanjutnya adalan main session yaa mama/papa dan (nama anak), Miss akan mengajak (nama anak) untuk praktik, jadi kita akan mencoba langsung pembelajaran yang ada di Algonova sesuai dengan yang Miss rekomendasikan berdasarkan sesi perkenalan. 
3. Setelah itu Miss akan memperkenalkan Algonova secara lengkap beserta dengan kurikulum pembelajarannya. 
4. Sesi teakhir adalah administrasi ya mama/papa, Miss akan bantu untuk proses pendaftaran dan pembayaran kelas lanjutannya selama zoom meeting berlangsung. 
Ada yang mau dinyakan dulu mama/papa sebelum miss lanjutkan untuk sesinya?"" ",,,✅Masih sama dengan penilaian script lama.,"✅
Clear, tapi tanyakan feedback di akhir penjelasan sebelum melanjutkan ke bagian berikutnya. 

Misal : ""Sampai sini, sebelum saya lanjutkan ada yang ingin ditanyakan terlebih dahulu Mom/Dad?",❌Urutan ini terlalu lama sepertinya,✅Tanyakan feedback di akhir ke parents,✅,✅Setuju tidak memberikan pilihan kepada orang tua untuk tidak cocok,,,
"Case study: 
1. Klien usia 12yo hadir dari product ""Drawing"" 
2. Klien usia 8yo hadir dari product ""Math"" 

Bagaimana cara kita menghandle client ini?",,,,,,,,,,,,,,
Profiling,New,"Konfirmasi usia dan tingkat sekolah anak
(Berdasarkan data di AMO)","Notes: TCM wajib sudah cek data klien di AMO, mengkonfirmasikan ke klien dan mengembangkan menjadi pertanyaan yang lebih detail untuk mengetahui data pasti klien baik dari usia maupun tingkat kelas. Komunikasi juga dilakukan secara santai seperti mengobrol. 

Example:
""Miss/Mr kenalan dulu yaa sama (nama anak), sudah siap belum? baik, Miss/Mr konfirmasi terlebih dulu sesuai data pendaftaran yaa mama/papa. Benar saat ini (nama anak) usianya 8 tahun ya? oke, ulang tahunnya bulan apa nih? wahh 8 tahun sudah mau 9 tahun yaa ternyata 1 bulan lagi, berarti sekolahnya sudah kelas 3 atau kelas berapa? 

""Miss/Mr mau ngobrol dulu yaa sama (nama anak), Miss/Mr izin konfirmasi terlebih dulu sesuai data pendaftaran yaa mama/papa. (nama anak) saat ini usianya betul sudah 12 tahun ya? 12 tahunnya lebih atau kurang nih? ulang tahunnya bulan apa? oke jadi 12 tahunnya masih 3 bulan lagi yaa, kalo sekolahnya sekarang kelas berapa? sekolah dimana?"" 

""Miss/Mr {nama TCM} konfirmasi terlebih dahulu dari data pendaftaran  yang masuk ke sistem ya Moma/papa."" (dilanjutkan dengan konfirmasi data dan memastikan lebih detail)",,,"✅Pakai data amo, jadi upgrade script lama.","✅
Recall data di amo, terlihat lebih professional dan meningkatkan awareness client kalau mereka yang awalnya memberikan data. 

Misal : ""Ms/Mr {nama_TCM} konfirmasi terlebih dahulu dari data pendaftaran  yang masuk ke sistem ya Mom/Dad.""

Lalu recall data2 di Amo",✅ di beri panduan ketika lihat tag amo apa lalu bisa di sesuaikan dengan pertanyaan dan confirmasi berikutnya,✅,✅,✅Setuju namun tetap harus make sure lagi untuk data amonya,,,
,New,"Konfirmasi siapa yang mendaftarkan, sumber informasi, dan ketertarikan tentang Algonova
(Berdasarkan data di AMO)","Notes: TCM wajib sudah cek data klien di AMO, mengkonfirmasikan ke klien terkait siapa yang mendaftar dan ketertarikan dengan Algonova sesuai dengan iklan yang dilihat saat mendaftar trial class. 

Example: 
""Keren banget nih mam, (nama anak) sudah siap untuk belajar ""Math""? Kalo untuk yang mendaftarkan (nama anak) di trial class hari ini betul dengan mama/papa sendiri ya? Miss lihat mama mendaftar melalui iklan tentang ""Math"" di facebook betul yaa mam? apa nih mam yang membuat mama tertarik dari iklan Math Algonova  untuk (nama anak)?""

""Wahh mam ternyata (nama anak) belum tahu nih hari ini kita mau ngapain, ini Miss cek di data sepertinya nomor papa yaa mam? untuk yang mendaftarkan di sesi trial class ini betul dengan papa dan mama yang mendampingi atau seperti apa nih mam?, papa udah cerita belum nih mam kenapa daftarin (nama anak) di trial class? Miss lihat papa daftar melalui iklan tentang ""drawing"" di intagram, kira-kira apa nih yang membuat mama/papa tertarik dari iklan itu untuk (nama anak)?  ",,,"✅Pakai data amo, jadi upgrade script lama.","✅
Yess, kaitkan data di Amo",✅ ,✅,✅,✅Setuju dikaitkan dengan data dari AMO,,,
,New,"Konfirmasi tujuan mendaftar & preferensi belajar
(Berdasarkan data di AMO)","Notes: TCM wajib sudah cek data klien di AMO, mengkonfirmasikan ke klien terkait tujuan pendidikan yang ada di AMO bagian ""Quiz Answer"" dan ""Profiling Result (jika ada)"" kemudian mengembangkan pertanyaan lebih spesifik dan detail preferensi belajar.

Example: 
""Jadi tertarik dengan iklan Math Algonova karena (nama anak) ada kendala ya mam di pembelajaran sekolah, sesuai juga ya mam dari tujan mama/papa mendaftar untuk ""meningkatkan prestasi di sekolah"", sebelumnya (nama anak) sudah pernah ikut les atau pembelajaran online belum ya mam? kalo dari mama/papa sendiri nih, harapan dan tujuannya kedepan untuk (nama anak) jika ikut kelas di Algonova seperti apa target mama/papa? Kalo  dari mama/papa saat ini memang sedang mencari les Math ya untuk (nama anak)?"" 

""Ohh jadi karena (nama anak) hobi gambar yaa mama/papa, dan mau dicoba dulu setelah lihat iklannya menarik. Nah kalo dari tujuan mama/papa ini Miss cek itu untuk ""memberikan pendidikan masa depan"", pendidikan masa depan yang seperti apa nih yang mama/papa harapkan dari Algonova untuk (nama anak)? ada tujuan atau target kedepan untuk (nama anak) nantinya selama belajar di Algonova?. (nama anak) sebelumnya sudah pernah ikut kelas online? kalo dari mama/papa saat ini memang masih mencari tempat les drawing kah untuk (nama anak)?"" ",,,"✅Pakai data amo, jadi upgrade script lama.","✅
Yess, kaitkan data di Amo. Sampaikan dengan soft dan mengalir",✅Note bukan interview,"✅Pastikan komunikasi 3 arah (TCM, anak, parents)",✅,✅Setuju dikaitkan dengan data dari AMO,,,
,,"Menggali kemampuan komputer dan 
pengetahuan coding/design/math","Notes: TCM wajib menggali kemampuan komputer anak, pengetahuan basic tentang coding/design/ kemampuan Math. (Wajib menggali kemampuan komputer dan Math untuk meningkatkan potensi payment bundling berdasarkan kebutuhan anak)

Example:
Design/Coding
""Di sekolah sudah belajar komputer belum? Udah belajar apa aja? Seru gak belajar komputer?""
""Kalo di rumah sudah pernah diajari sama mama/papa belajar menggunakan laptop? kalo ngetik ngetik dan menggunakan mouse sudah bisa ya?"" 
""(nama anak) sudah pernah denger atau tau tentang coding?"" 
""Kamu pernah gambar di tablet atau komputer?"" 

Math
""Kalo di sekolah kamu paling suka pelajaran apa?, kalo Math gimana kamu suka gak? atau ada kesulitan?"" 
""Kenapa nih kamu kurang suka Math?""
""Kamu merasa Math paling sulit di bagian apa?""",,,✅Masih sama dengan penilaian script lama.,"✅
",✅Note bukan interview,"✅Pastikan komunikasi 3 arah (TCM, anak, parents)",✅,✅,,,
,,"Menggali hobi, aktivitas harian dan cita-cita anak","Notes: TCM wajib mengetahui dan menggali hobi, aktivitas, dan cita-cita anak untuk mengetahui potensi belajar secara online dan menghubungkan dengan course yang akan direkomendasikan. 

Example: 
""Selain sekolah, kamu ada ikut les atau ekskul sepulang sekolah?""
""Kalo ada waktu senggang biasanya kamu ngapain aja nih sukanya?""
""Tadi mama/papa sampaikan kamu suka gambar ya? biasanya kamu suka gambar apa? gambarnya pakai kertas atau udah di tablet/laptop nih? boleh gak Miss ditunjukin contoh gambaran kamu?"" 
""Kalo nonton, main game gitu kamu suka gak? game apa aja yang biasa kamu mainkan? main gamenya pakai apa?"" 

""Kamu kan punya bakat dan hobi gambar/design tuh, kira-kira kamu udah kepikiran belum nanti cita-citanya mau jadi apa?"" 
""Wahhh banyak banget yaa hobi kamu ternyata, Miss jadi penasaran, kira-kira kamu kalo sudah besar cita-citanya jadi apa nih?"" ",,,"✅Masih sama dengan penilaian script lama.

PS: Bisa ditambahkan bahwa TCM tidak harus pakai semua examplenya, tujuannya profiling dengan lebih deep tapi tidak memperpanjang durasi TC.","✅
Gunakan maksimal 3 example pertanyaan saja, jangan terlalu banyak.","✅Note bukan interview dan di gali secara smooth serta pertanyaan yg lebih berbobot dengan jawaban essay bukan yes no

Agar tercipta informasi baru dari client ketika merespon pertanyaan dari tcm","✅Pastikan komunikasi 3 arah (TCM, anak, parents)","✅ Untuk menggali aktivitas anak ini sebaiknya spesifik tanyakan les,kursus atau ekstrakurikuler. Sehingga tidak bertele-tele dan terkesan basa-basi. Waktu juga menjadi tidak terlalu panjang untuk profiling.","✅Bisa to the point aja sesuai dengan klien daftarnya apa dan kalau sudah keliatan ke math misalnya, maka berikan pertanyaan yang relate dengan math misal ""suka math gak?"" ""sulit mathnya dimana?"" ""ada les math lagi gak di sekolah?"" agar jadi lebih efisien",,,
,New ,"Real Point Math

Menonjolkan perbedaan Algonova dari sekolah","Notes: Kaitkan antara kebutuhan klien atau problem dengan menjelaskan perbedaan Math Algo dan sekolah, tidak perlu menjelaskan terlalui detail dan panjang, karena sebelum praktik akan ada penjelasan road map course. Jelaskan sesuai respon dari client.

Example: 
""Baik mam, ternyata (nama anak) ada kesulitan ya untuk mengikuti pembelajaran di sekolah, kemungkinan karena metode belajar yang ada di sekolah biasanya ditekankan dengan hafalan dan driling soal, suasana kelas yang sangat ramai dan waktu yang terbatas juga menjadi faktor anak sulit memahami, apalagi anak tidak bisa mengakses pembelajaran itu berulang kali, sedangkan di Algonova, kami menggunakan metode pemahaman konsep sehingga soal dan teori Math dalam bentuk apapun yang sama dengan di sekolah bisa mudah dipahami anak, selain itu kami juga berbasis IT sehingga kelas lebih menyenangkan dan pembelajaran bisa diakses di rumah di luar jadwal les, hal ini bisa meningkatkan hasil Math (nama anak) di sekolah. """,,,,,,,,,,,
,New ,"Real Point (Coding & Design)

Berikan pemahaman singkat terkait dengan coding/desgin dan 
ajak anak membayangkan mereka menjadi seorang game dev/animator cilik dan tanyakan apa yang ingin mereka buat","Notes: Point ini lebih menekankan untuk TCM menjelaskan singkat tentang coding atau design dan mengajak anak berimaginasi ketika anak menjadi seseorang dengan profesi yang berkaitan dengan IT, serta menanyakan apa yang akan mereka lakukan atau mereka buat. 
- Point ini dilakukan agar tujuan anak jelas, dan anak tidak bingung ketika ditanya mau membuat apa karena sudah diafirmasi terlebih dulu terkait pengetahuan singkat coding dan design, dan TCM sudah memberikan penjelasan ""jika anak sudah bisa, jika anak jadi orang yang berprofesi di bidang IT

Example: 

""Hari ini Miss/Mr akan mengajak kamu untuk belajar coding, nah apa itu koding sederhananya kita akan belajar bahasa komputer untuk membuat sesuatu seperti game atau animasi""
""Hari ini Miss/Mr akan mengajak kamu untuk belajar design, nah kamu akan mencoba gimana menggambar pakai laptop, jadi nanti gambarnya bisa dibuat bergerak juga jadi animasi"" 

Note: Selanjutnya ajak anak berimaginasi dan tanyakan apa yang mau mereka buat. 

5-7yo
""Miss/Mr mau ngajak (nama anak) buat bayangin nih, kalo (nama anak) udah pinter design/pinter coding, terus jadi orang yang bisa buat game sendiri, gambar kartun, kira-kira kamu mau buat game/karakter apa?""

5-13yo
""Selanjutnya, coba kamu bayangin nih udah bisa coding/bisa design, jadi orang yang bisa buat game/ animasi, kira-kira apa yang mau kamu buat?""

14-17yo
""Nahh coba deh kamu bayangin kamu udah pinter coding / pinter ngedesign, bisa jadi programer, game developer, atau animator, kamu paling pengen bikin apa?"" ",,,✅Masuk real point yang sudah dibahas sebelumnya. Aman.,"✅
Clear, namun jika cita-citanya tidak sesuai ekspektasi atau tidak langsung relate dengan program Algonova, TCM harus mengaitkan dengan pembelajaran di Algonova yang bisa membantu mewujudkan cita-cita anak.

Misal:
Cita-cita anak mau jadi petani. ""Wah keren banget, dengan belajar coding nantinya proses pertaniannya jadi makin keren bisa berbasis otomasi""","❌ Lebih baik tanyakan dia kedepannya mau sebagai apa, dan persiapan apa yang mau dilakukannya dari impiannya.kira kira sejauh apa yg dia tau ttg impiannya lalu tcm bisa bantu dengan ""okay kalau gitu miss bantu kamu untuk belajar game develeoper dllll""

kalau klien tidak tau, Tcm bisa membantu menemukan jawaban dari hal yg diinginkan anaknya di masa depan. ",,"❌ Untuk anak remaja kemungkinan tidak suka diajak membayangkan. 
Lebih baik gunakan pertanyaan, misal ""Kamu mau nggak bikin game sendiri? Kalau kamu bisa bikin game sendiri kamu mau bikin game tentang apa?""","❌Tidak perlu membayangkan dan mengkaitkan dengan cita-cita kecuali memang cita-citanya memang udah sesuai. 

✅ Bisa tanyakan saja ""Kalau nanti bisa bikin game nanti mau bikin apa?""",,,
